strain	subject acc.ver	subject title	species	genotype	E	P	H	F	date	year	location	GeoNames.country_code	GeoNames.admin1_code	GeoNames.admin2_code	GeoNames.admin3_code	GeoNames.admin4_code	GeoNames.geonameid	GeoNames.name	GeoNames.latitude	GeoNames.longitude	GeoNames.feature_code	GeoNames.modification_date
KJ883520.1	KJ883520.1	Human adenovirus 55 isolate Hebei/BD6728/2013, complete genome	B	55	55	14	11	14	2013-04-06	2013	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KJ883521.1	KJ883521.1	Human adenovirus 55 isolate Hebei/BD6729/2013, complete genome	B	55	55	14	11	14	2013-04-07	2013	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KJ883522.1	KJ883522.1	Human adenovirus 55 isolate Shanxi/QZ01/2011, complete genome	B	55	55	14	11	14	2011-12-05	2011	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP016719.1	KP016719.1	Human adenovirus D8 strain Ger/Celle/06_2010, complete genome	D	8	8	8	8	8	2010-06-01	2010	DE.06.00.03351.03351006	DE	06	00	03351	03351006	6557432	Celle	52.61748	10.08502	ADM4	2020-05-23
KP016720.1	KP016720.1	Human adenovirus D8 strain Ger/Celle/06_2010, complete genome	D	8	8	8	8	8	2010-06-01	2010	DE.06.00.03351.03351006	DE	06	00	03351	03351006	6557432	Celle	52.61748	10.08502	ADM4	2020-05-23
KP016721.1	KP016721.1	Human adenovirus D8 strain Ger/Hannover/07_2010, complete genome	D	8	8	8	8	8	2010-07-01	2010	DE.06.00.03241.03241001	DE	06	00	03241	03241001	6559065	Hannover, Landeshauptstadt	52.37362	9.73711	ADM4	2020-05-23
KP016722.1	KP016722.1	Human adenovirus D8 strain Ger/Bottrop/12_2011, complete genome	D	8	8	8	8	8	2011-12-01	2011	DE.07.055.05512.05512000	DE	07	055	05512	05512000	6553085	Bottrop	51.52325	6.92527	ADM4	2020-05-23
KP016723.1	KP016723.1	Human adenovirus D8 strain Ger/Bottrop/12_2011, complete genome	D	8	8	8	8	8	2011-12-01	2011	DE.07.055.05512.05512000	DE	07	055	05512	05512000	6553085	Bottrop	51.52325	6.92527	ADM4	2020-05-23
KP016724.1	KP016724.1	Human adenovirus D8 strain Ger/Bottrop/12_2011, complete genome	D	8	8	8	8	8	2011-12-01	2011	DE.07.055.05512.05512000	DE	07	055	05512	05512000	6553085	Bottrop	51.52325	6.92527	ADM4	2020-05-23
KP016725.1	KP016725.1	Human adenovirus D8 strain Ger/Karlsruhe/01_2012, complete genome	D	8	8	8	8	8	2012-01-01	2012	DE.01.082.08212.08212000	DE	01	082	08212	08212000	6555606	Karlsruhe	49.0083	8.39786	ADM4	2020-05-23
KP016726.1	KP016726.1	Human adenovirus D8 strain Ger/Hannover/08_2012, complete genome	D	8	8	8	8	8	2012-08-01	2012	DE.06.00.03241.03241001	DE	06	00	03241	03241001	6559065	Hannover, Landeshauptstadt	52.37362	9.73711	ADM4	2020-05-23
KP016727.1	KP016727.1	Human adenovirus D8 strain Ger/Celle/03_2012, complete genome	D	8	8	8	8	8	2012-03-01	2012	DE.06.00.03351.03351006	DE	06	00	03351	03351006	6557432	Celle	52.61748	10.08502	ADM4	2020-05-23
KP016728.1	KP016728.1	Human adenovirus D8 strain Ger/Bottrop/06_2012, complete genome	D	8	8	8	8	8	2012-06-01	2012	DE.07.055.05512.05512000	DE	07	055	05512	05512000	6553085	Bottrop	51.52325	6.92527	ADM4	2020-05-23
KP016729.1	KP016729.1	Human adenovirus D8 strain Ger/Lanshut/08_2012, complete genome	D	8	8	8	8	8	2012-08-01	2012	DE.02.092.09261.09261000	DE	02	092	09261	09261000	6556450	Landshut	48.53587	12.15227	ADM4	2020-05-23
KP016730.1	KP016730.1	Human adenovirus D8 strain Ger/Teltow/09_2012, complete genome	D	8	8	8	8	8	2012-09-01	2012	DE.11.00.12069.12069616	DE	11	00	12069	12069616	6550643	Teltow	52.3976	13.25227	ADM4	2020-05-23
KP016731.1	KP016731.1	Human adenovirus D8 strain Ger/Luneburg/11_2012, complete genome	D	8	8	8	8	8	2012-11-01	2012	DE.06.00.03355.03355022	DE	06	00	03355	03355022	6557441	Lüneburg	53.2329	10.4078	ADM4	2020-05-23
KP016732.1	KP016732.1	Human adenovirus D8 strain Ger/Luneburg/11_2012, complete genome	D	8	8	8	8	8	2012-11-01	2012	DE.06.00.03355.03355022	DE	06	00	03355	03355022	6557441	Lüneburg	53.2329	10.4078	ADM4	2020-05-23
KP016733.1	KP016733.1	Human adenovirus D8 strain Ger/Cologne/12_2012, complete genome	D	8	8	8	8	8	2012-12-01	2012	DE.07.053.05315.05315000	DE	07	053	05315	05315000	6553049	Köln	50.93835	6.95427	ADM4	2020-05-23
KP016734.1	KP016734.1	Human adenovirus D8 strain Ger/Celle/12_2012, complete genome	D	8	8	8	8	8	2012-12-01	2012	DE.06.00.03351.03351006	DE	06	00	03351	03351006	6557432	Celle	52.61748	10.08502	ADM4	2020-05-23
KP016735.1	KP016735.1	Human adenovirus D8 strain Ger/Arnsberg/12_2012, complete genome	D	8	8	8	8	8	2012-12-01	2012	DE.07.059.05958.05958004	DE	07	059	05958	05958004	6557667	Arnsberg	51.4263	7.9913	ADM4	2020-05-23
KP016736.1	KP016736.1	Human adenovirus D8 strain Ger/Dortmund/01_2013, complete genome	D	8	8	8	8	8	2013-01-01	2013	DE.07.059.05913.05913000	DE	07	059	05913	05913000	6553133	Dortmund	51.5125	7.47695	ADM4	2020-05-23
KP016737.1	KP016737.1	Human adenovirus D8 strain Ger/Freiburg/12_2012, complete genome	D	8	8	8	8	8	2012-12-01	2012	DE.13.00.14522.14522180	DE	13	00	14522	14522180	6550757	Freiberg	50.91178	13.34196	ADM4	2020-05-23
KP016738.1	KP016738.1	Human adenovirus D8 strain Ger/Mulheim-Ruhr/01_2013, complete genome	D	8	8	8	8	8	2013-01-01	2013	DE.07.051.05117.05117000	DE	07	051	05117	05117000	6553027	Mülheim an der Ruhr	51.4268	6.8806	ADM4	2020-05-23
KP016739.1	KP016739.1	Human adenovirus D8 strain Ger/Cottbus/02_2013, complete genome	D	8	8	8	8	8	2013-02-01	2013	DE.11.00.12052.12052000	DE	11	00	12052	12052000	6547541	Cottbus	51.75602	14.31971	ADM4	2020-05-23
KP016740.1	KP016740.1	Human adenovirus D8 strain Ger/Bottrop/02_2013, complete genome	D	8	8	8	8	8	2013-02-01	2013	DE.07.055.05512.05512000	DE	07	055	05512	05512000	6553085	Bottrop	51.52325	6.92527	ADM4	2020-05-23
KP016741.1	KP016741.1	Human adenovirus D8 strain Ger/Heidelberg/12_2013, complete genome	D	8	8	8	8	8	2013-12-01	2013	DE.01.082.08221.08221000	DE	01	082	08221	08221000	6555638	Heidelberg	49.4095	8.6935	ADM4	2020-05-23
KP016742.1	KP016742.1	Human adenovirus D8 strain Ger/Heidelberg/11_2013, complete genome	D	8	8	8	8	8	2013-11-01	2013	DE.01.082.08221.08221000	DE	01	082	08221	08221000	6555638	Heidelberg	49.4095	8.6935	ADM4	2020-05-23
KP016743.1	KP016743.1	Human adenovirus D8 strain Ger/Regensburg/07_2012, complete genome	D	8	8	8	8	8	2012-07-01	2012	DE.02.093.09362.09362000	DE	02	093	09362	09362000	6556611	Regensburg	49.01681	12.09536	ADM4	2020-05-23
KP279748.1	KP279748.1	Human adenovirus 55 strain human/CHN/AQ-1/2012/55[P14/H11/F14], complete genome	B	55	55	14	11	14	2012-04-18	2012	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP641339.1	KP641339.1	Human mastadenovirus D isolate human/DEU/Leipzig/2014/70[P70H70F29], complete genome	D	70	70	70	70	29	2013-01-01	2013	DE.13.00.14713.14713000	DE	13	00	14713	14713000	6548737	Leipzig	51.34198	12.37498	ADM4	2020-05-23
KP670855.2	KP670855.2	Human adenovirus 7 strain human/CHN/GZ7015/2011/7[P7H7F7], complete genome	B	66	7	66	7	7	2011-07-08	2011	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP670856.2	KP670856.2	Human adenovirus 7 strain human/CHN/GZ6965/2011/7[P7H7F7], complete genome	B	66	7	66	7	7	2011-05-12	2011	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP670857.1	KP670857.1	Human adenovirus 7 strain human/CHN/GZ6784/2011/7[P7H7F7], complete genome	B	66	7	66	7	7	2011-03-09	2011	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP670858.1	KP670858.1	Human adenovirus 7 strain human/CHN/GZ6080/2010/7[P7H7F7], complete genome	B	66	7	66	7	7	2010-07-20	2010	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP670859.1	KP670859.1	Human adenovirus 7 strain human/CHN/GZ8987/2012/7[P7H7F7], complete genome	B	66	7	66	7	7	2012-08-04	2012	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP670860.1	KP670860.1	Human adenovirus 7 strain human/CHN/GZ8546/2012/7[P7H7F7], complete genome	B	66	7	66	7	7	2012-04-26	2012	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP670861.1	KP670861.1	Human adenovirus 7 strain human/CHN/GZ7052/2011/7[P7H7F7], complete genome	B	66	7	66	7	7	2011-08-08	2011	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP896478.1	KP896478.1	Human adenovirus B55 strain Hebei/BD01/2012, complete genome	B	55	55	14	11	14	2012-02-11	2012	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP896479.1	KP896479.1	Human adenovirus 7 strain Hubei/JZ01/2013, complete genome	B	66	7	66	7	7	2013-02-25	2013	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP896480.1	KP896480.1	Human adenovirus 7 strain Shanxi/TY01/2013, complete genome	B	66	7	66	7	7	2013-01-19	2013	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP896481.1	KP896481.1	Human adenovirus 7 strain Hubei/XF/2013, complete genome	B	66	7	66	7	7	2013-01-18	2013	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP896482.1	KP896482.1	Human adenovirus 14 strain Gansu/DH01/2013, complete genome	B	14	14	14	14	14	2013-01-23	2013	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP896483.1	KP896483.1	Human adenovirus B55 strain Liaoning/LS01/2013, complete genome	B	55	55	14	11	14	2013-02-25	2013	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KP896484.1	KP896484.1	Human adenovirus B55 strain Tianjin/TJ01/2013, complete genome	B	55	55	14	11	14	2013-01-15	2013	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KR699642.1	KR699642.1	Human mastadenovirus C strain CBJ113, complete genome	C	2	2	1	2	2	2009-01-20	2009	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KT340055.1	KT340055.1	Human adenovirus D8 isolate NYS05_2091, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340056.1	KT340056.1	Human adenovirus D8 isolate NYS12_4716, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340057.1	KT340057.1	Human adenovirus D8 isolate NYS12_4717, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340058.1	KT340058.1	Human adenovirus D8 isolate NYS12_4718, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340059.1	KT340059.1	Human adenovirus D8 isolate NYS12_4719, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340060.1	KT340060.1	Human adenovirus D8 isolate NYS12_4720, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340061.1	KT340061.1	Human adenovirus D8 isolate NYS12_4721, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340062.1	KT340062.1	Human adenovirus D8 isolate NYS12_5493, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340063.1	KT340063.1	Human adenovirus D8 isolate NYS12_5670, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340064.1	KT340064.1	Human adenovirus D8 isolate NYS12_5671, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340065.1	KT340065.1	Human adenovirus D8 isolate NYS12_5673, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340066.1	KT340066.1	Human adenovirus D8 isolate NYS12_5676, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340067.1	KT340067.1	Human adenovirus D8 isolate NYS12_5678, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340068.1	KT340068.1	Human adenovirus D8 isolate NYS12_5792, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340069.1	KT340069.1	Human adenovirus D8 isolate NYS12_6095, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340070.1	KT340070.1	Human adenovirus D8 isolate NYS12_13421, complete genome	D	8	8	8	8	8	2012-01-01	2012	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT340071.1	KT340071.1	Human adenovirus D8 isolate NYS05_2088, complete genome	D	8	8	8	8	8	2005-01-01	2005	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
KT862545.1	KT862545.1	Human adenovirus D8 strain Ger/Berlin/04_2003, complete genome	D	8	8	8	8	8	2003-04-01	2003	DE.16.00.11000.11000000	DE	16	00	11000	11000000	6547539	Berlin	52.5233	13.41377	ADM4	2020-05-23
KT862546.1	KT862546.1	Human adenovirus D8 strain Ger/Neubrandenburg/08_2006, complete genome	D	8	8	8	8	8	2006-08-01	2006	DE.12.00.13071.13071107	DE	12	00	13071	13071107	6547756	Neubrandenburg	53.54764	13.25554	ADM4	2020-05-23
KT862547.1	KT862547.1	Human adenovirus D8 strain Ger/Celle/09_2014, complete genome	D	8	8	8	8	8	2014-09-01	2014	DE.06.00.03351.03351006	DE	06	00	03351	03351006	6557432	Celle	52.61748	10.08502	ADM4	2020-05-23
KT862548.1	KT862548.1	Human adenovirus D8 strain Ger/Krefeld/11_2005, complete genome	D	8	8	8	8	8	2005-11-01	2005	DE.07.051.05114.05114000	DE	07	051	05114	05114000	6553025	Krefeld	51.35157	6.54957	ADM4	2020-05-23
KT862549.1	KT862549.1	Human adenovirus D8 strain Ger/Hannover/10_2014, complete genome	D	8	8	8	8	8	2014-10-01	2014	DE.06.00.03241.03241001	DE	06	00	03241	03241001	6559065	Hannover, Landeshauptstadt	52.37362	9.73711	ADM4	2020-05-23
KT963081.1	KT963081.1	Human adenovirus 7 strain CDC 2014012.949, complete genome	B	66	7	66	7	7	2014-02-19	2014	US.OR	US	OR	?	?	?	5744337	Oregon	44.00013	-120.50139	ADM1	2019-12-30
KT970440.1	KT970440.1	Human mastadenovirus B strain HAdV-B/ARG/18017/2000/[P11H11F7], complete genome	B	78	78	35	11	7	2000-09-01	2000	AR.00	AR	00	?	?	?	3865483	Argentine Republic	-34	-64	PCLI	2020-03-29
KT970441.1	KT970441.1	Human mastadenovirus B strain HAdV-B/USA/CHOP2146-10810/2013/[P11H11F7], complete genome	B	78	78	35	11	7	2013-10-01	2013	US.PA	US	PA	?	?	?	6254927	Pennsylvania	40.8	-77.7	ADM1	2020-06-12
KT970442.1	KT970442.1	Human mastadenovirus B strain HAdV-B/USA/12146/2012/[P11H11F7], complete genome	B	78	78	35	11	7	2012-04-15	2012	US.NY	US	NY	?	?	?	5128638	New York	43.00035	-75.4999	ADM1	2019-12-27
KU162869.1	KU162869.1	Human adenovirus 40 strain HoviX, complete genome	F	40	40	40	40	40	1979-01-01	1979	FI.00	FI	00	?	?	?	660013	Republic of Finland	64	26	PCLI	2020-03-29
KU361344.1	KU361344.1	Human adenovirus 7 strain 19BOVLB/Volgograd/Rus/2014, complete genome	B	66	7	66	7	7	2014-03-19	2014	RU.84	RU	84	?	?	?	472755	Volgograd Oblast	49	44	ADM1	2020-07-08
KX289874.1	KX289874.1	Human adenovirus 55 isolate JS201501, complete genome	B	55	55	14	11	14	2015-11-12	2015	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KX384946.1	KX384946.1	Human adenovirus E4 strain V2029E/Georgia USA/1986, complete genome	E	4	4	4	4	4	1986-01-01	1986	US.GA	US	GA	?	?	?	4197000	Georgia	32.75042	-83.50018	ADM1	2019-12-30
KX384947.1	KX384947.1	Human adenovirus E4 strain RU4445/Egypt/1968, complete genome	E	4	4	4	4	4	1968-01-01	1968	EG.00	EG	00	?	?	?	357994	Arab Republic of Egypt	27	30	PCLI	2020-03-29
KX384948.1	KX384948.1	Human adenovirus E4 strain RDU2954/New Jersey USA/1966, complete genome	E	4	4	4	4	4	1966-01-01	1966	US.NJ	US	NJ	?	?	?	5101760	New Jersey	40.16706	-74.49987	ADM1	2019-12-27
KX384949.1	KX384949.1	Human adenovirus E4 strain RI-67 (ATCC VR-1572), complete genome	E	4	4	4	4	4	1953-01-01	1953	US.MO.169	US	MO	169	?	?	4404807	Pulaski County	37.82463	-92.20766	ADM2	2018-04-25
KX384950.1	KX384950.1	Human adenovirus E4 strain RU7872/Minnesota USA/1971, complete genome	E	4	4	4	4	4	1971-01-01	1971	US.MN	US	MN	?	?	?	5037779	Minnesota	46.25024	-94.25055	ADM1	2020-05-09
KX384957.1	KX384957.1	Human adenovirus E4 strain V1003/New York USA/1981, complete genome	E	4	4	4	4	4	1981-01-01	1981	US.NY	US	NY	?	?	?	5128638	New York	43.00035	-75.4999	ADM1	2019-12-27
KX384958.1	KX384958.1	Human adenovirus B3 strain T382/Ft Jackson South Carolina USA/2002, complete genome	B	3	3	3	3	3	2002-12-09	2002	US.SC.079	US	SC	079	?	?	4592843	Richland County	34.0218	-80.90304	ADM2	2018-04-25
KX384959.1	KX384959.1	Human adenovirus 2 strain T215/Ft Jackson South Carolina USA/2002, complete genome	C	89	89	89	2	2	2002-11-29	2002	US.SC.079	US	SC	079	?	?	4592843	Richland County	34.0218	-80.90304	ADM2	2018-04-25
KX494979.1	KX494979.1	Human adenovirus 55 strain AFMC 16-0011, complete genome	B	55	55	14	11	14	2016-02-23	2016	KR.00	KR	00	?	?	?	1835841	Republic of Korea	36.5	127.75	PCLI	2020-03-29
KX827426.1	KX827426.1	Human mastadenovirus D strain human/PAR/Py52A/2010/83[P83H9F15], complete genome	D	83	83	83	9	15	2010-07-12	2010	PY.00	PY	00	?	?	?	3437598	Republic of Paraguay	-23.33333	-58	PCLI	2020-03-29
KX868297.2	KX868297.2	Human adenovirus 86 isolate GyK018, complete genome	D	86	86	9	25	25	1978-01-01	1978	SE.00	SE	00	?	?	?	2661886	Kingdom of Sweden	62	15	PCLI	2020-03-29
KX868466.2	KX868466.2	Human adenovirus 5 isolate GyK193, complete genome	C	5	2	2	5	5	2000-01-01	2000	SE.00	SE	00	?	?	?	2661886	Kingdom of Sweden	62	15	PCLI	2020-03-29
KX868523.2	KX868523.2	Human adenovirus 41 isolate GyK253, complete genome	F	41	41	41	41	41	2000-01-01	2000	SE.00	SE	00	?	?	?	2661886	Kingdom of Sweden	62	15	PCLI	2020-03-29
KX897164.1	KX897164.1	Human adenovirus 7 isolate Z9/WH/CHN/2015 complete genome, complete genome	B	66	7	66	7	7	2015-01-01	2015	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KY002683.1	KY002683.1	UNVERIFIED: Human adenovirus isolate Tibet/LS89/2016, complete genome	B	55	55	14	11	14	2016-01-26	2016	CN.14	CN	14	?	?	?	1279685	Tibet Autonomous Region	31.66667	88	ADM1	2018-10-02
KY002684.1	KY002684.1	UNVERIFIED: Human adenovirus isolate Sichuan/SF04/2016, complete genome	B	55	55	14	11	14	2016-05-24	2016	CN.32	CN	32	?	?	?	1794299	Sichuan Sheng	30.5	102.66667	ADM1	2017-06-29
KY002685.1	KY002685.1	Human adenovirus isolate Yunnan/KM04/2016, complete genome	B	55	55	14	11	14	2016-06-08	2016	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KY021426.1	KY021426.1	Human mastadenovirus B isolate HAdV-B/CAN_New Brunswick/VC5093R/2011/P14H14F14, complete genome	B	14	14	14	14	14	2011-01-01	2011	CA.04	CA	04	?	?	?	6087430	New Brunswick/Nouveau-Brunswick	46.5001	-65.99878	ADM1	2020-04-19
KY021427.1	KY021427.1	Human mastadenovirus B isolate HAdVB/CAN_New Brunswick/VC5600R/2011/P14H14F14, complete genome	B	14	14	14	14	14	2011-01-01	2011	CA.04	CA	04	?	?	?	6087430	New Brunswick/Nouveau-Brunswick	46.5001	-65.99878	ADM1	2020-04-19
KY021428.1	KY021428.1	Human mastadenovirus B isolate HAdVB/CAN_New Brunswick/VC50585/2011/P14H14F14, complete genome	B	14	14	14	14	14	2011-01-01	2011	CA.04	CA	04	?	?	?	6087430	New Brunswick/Nouveau-Brunswick	46.5001	-65.99878	ADM1	2020-04-19
KY021429.1	KY021429.1	Human mastadenovirus B isolate HAdV-B/USA_New York/1224/2008/P14H14F14, complete genome	B	14	14	14	14	14	2008-01-28	2008	US.NY	US	NY	?	?	?	5128638	New York	43.00035	-75.4999	ADM1	2019-12-27
KY021430.1	KY021430.1	Human mastadenovirus B isolate HAdV-B/USA_New York/5491/2015/P14H14F14, complete genome	B	14	14	14	14	14	2015-02-15	2015	US.NY	US	NY	?	?	?	5128638	New York	43.00035	-75.4999	ADM1	2019-12-27
KY021431.1	KY021431.1	Human mastadenovirus B isolate HAdV-B/USA_New York/6295/2015/P14H14F14, complete genome	B	14	14	14	14	14	2015-02-27	2015	US.NY	US	NY	?	?	?	5128638	New York	43.00035	-75.4999	ADM1	2019-12-27
KY021432.1	KY021432.1	Human mastadenovirus B isolate HAdV-B/USA_New York/45278/2015/P14H14F14, complete genome	B	14	14	14	14	14	2015-05-05	2015	US.NY	US	NY	?	?	?	5128638	New York	43.00035	-75.4999	ADM1	2019-12-27
KY070248.1	KY070248.1	Human adenovirus 55 isolate 60-GD-2016, complete genome	B	55	55	14	11	14	2016-06-30	2016	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KY307857.1	KY307857.1	Human adenovirus 21a isolate LRTI-7, complete genome	B	21	21	21	21	21	2013-01-01	2013	CH.BE.246.351	CH	BE	246	351	?	7285212	Bern/Berne/Berna	46.94761	7.40645	ADM3	2020-06-17
KY307858.1	KY307858.1	Human adenovirus 21a isolate LRTI-8, complete genome	B	21	21	21	21	21	2016-01-01	2016	DE.00	DE	00	?	?	?	2921044	Federal Republic of Germany	51.5	10.5	PCLI	2020-03-29
KY307859.1	KY307859.1	Human adenovirus 21a isolate LRTI-9, complete genome	B	21	21	21	21	21	2016-01-01	2016	CH.BE.246.351	CH	BE	246	351	?	7285212	Bern/Berne/Berna	46.94761	7.40645	ADM3	2020-06-17
KY307860.1	KY307860.1	Human adenovirus 21a isolate Sibu-97, complete genome	B	21	21	21	21	21	1997-01-01	1997	MY.11	MY	11	?	?	?	1733038	Sarawak	2.5	113.5	ADM1	2015-05-12
KY316160.1	KY316160.1	Human adenovirus 41 isolate SH/2015/D16, complete genome	F	41	41	41	41	41	2015-01-01	2015	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KY316161.1	KY316161.1	Human adenovirus 41 isolate SH/2015/D187, complete genome	F	41	41	41	41	41	2015-03-01	2015	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KY316162.1	KY316162.1	Human adenovirus 41 isolate SH/2015/D240, complete genome	F	41	41	41	41	41	2015-04-01	2015	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KY316163.1	KY316163.1	Human adenovirus 41 isolate SH/2015/D363, complete genome	F	41	41	41	41	41	2015-06-01	2015	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KY316164.1	KY316164.1	Human adenovirus 41 isolate SH/2015/D381, complete genome	F	41	41	41	41	41	2015-07-01	2015	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
KY320276.1	KY320276.1	Human mastadenovirus B isolate KUMC-62, complete genome	B	3	3	3	3	3	?	?	KR.00	KR	00	?	?	?	1835841	Republic of Korea	36.5	127.75	PCLI	2020-03-29
KY471318.1	KY471318.1	Human adenovirus 55 strain AFMC 16-0007, complete genome	B	55	55	14	11	14	?	?	KR.00	KR	00	?	?	?	1835841	Republic of Korea	36.5	127.75	PCLI	2020-03-29
KY471319.1	KY471319.1	Human adenovirus 55 strain AFMC 16-0094, complete genome	B	55	55	14	11	14	?	?	KR.00	KR	00	?	?	?	1835841	Republic of Korea	36.5	127.75	PCLI	2020-03-29
KY471320.1	KY471320.1	Human adenovirus 55 strain AFMC 16-0074, complete genome	B	55	55	14	11	14	?	?	KR.00	KR	00	?	?	?	1835841	Republic of Korea	36.5	127.75	PCLI	2020-03-29
KY471321.1	KY471321.1	Human adenovirus 55 strain AFMC 16-0081, complete genome	B	55	55	14	11	14	?	?	KR.00	KR	00	?	?	?	1835841	Republic of Korea	36.5	127.75	PCLI	2020-03-29
KY471322.1	KY471322.1	Human adenovirus 55 strain AFMC 16-0035, complete genome	B	55	55	14	11	14	?	?	KR.00	KR	00	?	?	?	1835841	Republic of Korea	36.5	127.75	PCLI	2020-03-29
KY471323.1	KY471323.1	Human adenovirus 55 strain AFMC 16-0096, complete genome	B	55	55	14	11	14	?	?	KR.00	KR	00	?	?	?	1835841	Republic of Korea	36.5	127.75	PCLI	2020-03-29
KY618676.1	KY618676.1	Human mastadenovirus D isolate human/DEU/Leipzig/2015/73[P67H45F27], complete genome	D	73	73	67	45	27	2015-01-01	2015	DE.13.00.14713.14713000	DE	13	00	14713	14713000	6548737	Leipzig	51.34198	12.37498	ADM4	2020-05-23
KY618677.1	KY618677.1	Human mastadenovirus D isolate human/DEU/Leipzig/2015/74[P70H74F51], complete genome	D	74	74	70	74	51	2015-01-01	2015	DE.13.00.14713.14713000	DE	13	00	14713	14713000	6548737	Leipzig	51.34198	12.37498	ADM4	2020-05-23
